地名,規範碼,long,lat,朝代,行政區
天竺,PL000000048208,81,27,沒有給定朝代,
印度,PL000000048207,77.21,28.61,沒有給定朝代,
西域,PL000000047439,83,39,東漢,
東漢,PL000000000098,112.3918,34.6646,,
雒陽,PL000000023521,112.6329,34.7109,東漢,東漢_司隸校尉部
雍門,PL000000023533,112.682591,34.728725,,
白馬寺,PL000000023663,112.599807,34.72401,東漢,
江南,PL000000000197,117,30,慣用名,
中國,PL000000000083,108.923708,34.540829,慣用名,
清涼臺,PL000000023531,112.599807,34.72401,,
顯節陵,PL000000023532,112.413726,34.736393,,
昆明池,PL000000042055,108.757,34.2523,,
安息國,PL000000048413,55,33,漢,
西域,PL000000055436,75,32,慣用名,
廣州,PL000000030443,113.2643,23.1335,西晉,西晉_廣州
關中,PL000000042002,109,34.5,慣用名,
廬山,PL000000018775,115.999139,29.568309,沒有給定朝代,
䢼亭湖廟,PL000000018764,115.994,29.7213,,
豫章郡,PL000000018607,115.9064,28.6738,東漢,東漢_揚州刺史部
大安寺,PL000000018583,115.88441,28.688872,晉,
潯陽郡蛇村,PL000000048149,115.945,29.605,,
會稽郡,PL000000013246,120.5871,30.0031,東漢,東漢_揚州刺史部
柴桑,PL000000018833,115.9944,29.7213,西晉,西晉_荊州
揚州,PL000000008974,118.778,32.0514,孫吳,三國吳_揚州
白馬寺,PL000000027753,112.4872,30.3869,,
荊州,PL000000027772,112.1852,30.3539,西晉,西晉_荊州
臨川郡,PL000000019815,116.1876,27.9954,東晉,東晉_江州
瓦官寺,PL000000008823,118.767593,32.019731,東晉,
南陽郡,PL000000025217,112.5444,33.001,曹魏,三國魏_荊州
穎川郡,PL000000024849,114.0288,34.0234,曹魏,三國魏_豫州
會稽郡,PL000000013271,120.5871,30.0031,孫吳,三國吳_揚州
月支國,PL000000055438,75,27,東漢,
臨淮郡,PL000000011283,118.2595,33.3235,西漢,西漢_徐州刺史部
迦毘羅衛國,PL000000049201,83.054972,27.576456,唐,
洛陽,PL000000023711,112.6193,34.7203,曹魏,三國魏_司州
曹魏,PL000000000099,112.6193,34.7203,曹魏,
康居,PL000000055089,69.2468,41.3191,沒有給定朝代,
交趾郡,PL000000055177,106.0907,21.1236,孫吳,三國吳_交州
東吳,PL000000000101,118.778,32.0514,孫吳,
建業,PL000000008978,118.778,32.0514,孫吳,三國吳_揚州
建初寺,PL000000008825,118.776783,32.012029,沒有給定朝代,
佛陀里,PL000000008614,118.778,32.0514,,
武昌,PL000000027404,114.8887,30.4017,孫吳,三國吳_荊州
敦煌郡,PL000000045820,94.6237,40.1373,西晉,西晉_涼州
洛陽,PL000000023710,112.6193,34.7203,西晉,西晉_司州
蔥嶺,PL000000049634,74.2194,38.096,西晉,西晉_西域長史府
敦煌,PL000000045819,94.6237,40.1373,西晉,西晉_涼州
長安,PL000000042387,108.8785,34.324,西晉,西晉_雍州
長安青門,PL000000042355,108.9116,34.3398,北魏,
澠池郡,PL000000025062,111.6969,34.7447,北魏,北朝魏_司州
河內郡,PL000000024686,112.9462,35.0886,西晉,西晉_司州
隴西國,PL000000046149,104.6913,34.9812,西晉,西晉_秦州
秦州,PL000000044993,105.4145,34.7314,西晉,西晉_秦州
汧縣,PL000000042963,106.8776,34.8526,西晉,西晉_雍州
崤山,PL000000023037,111.206786,34.461214,沒有給定朝代,
函谷關,PL000000023731,112.076,34.7546,西漢,西漢_司隸部
天水郡,PL000000044994,105.4145,34.7314,西晉,西晉_秦州
南陽國,PL000000025204,112.5444,33.001,西晉,西晉_荊州
忉利天,PL000000055447,0,0,沒有給定朝代,
梁州,PL000000043842,107.0439,33.0761,西晉,西晉_梁州
江夏郡,PL000000027638,113.7552,31.0249,西晉,西晉_荊州
武都,PL000000046449,105.1672,33.8255,西晉,西晉_秦州
汲郡,PL000000024488,113.9675,35.3777,西晉,西晉_司州
長江,PL000000000150,121.1298,31.7578,慣用名,
南夏,PL000000000128,118,29,沒有給定朝代,
琅邪郡,PL000000021920,118.3351,35.1345,前秦,前秦
石子岡,PL000000009060,118.774691,32.001729,沒有給定朝代,
建康,PL000000008976,118.778,32.0514,東晉,東晉_揚州
陳郡,PL000000026089,114.8916,33.7331,前秦,前秦
高座寺,PL000000009063,118.776863,32.003272,西晉,
罽賓國,PL000000055418,69,34,晉,
長安,PL000000042393,108.9064,34.3288,前秦,前秦
土火羅,PL000000000014,68.1589,36.6608,隋,_西突厥
武威郡,PL000000045062,102.6438,37.9272,前秦,前秦
清水,PL000000044926,106.1116,34.7798,西晉,西晉_秦州
濟陰郡,PL000000023003,115.5586,35.0929,西晉,西晉_兗州
孟津河,PL000000024690,112.796,34.8382,,
商洛山,PL000000044525,110.227,33.6905,沒有給定朝代,
雍州,PL000000042394,108.8785,34.324,西晉,西晉_雍州
襄陽郡,PL000000027143,112.148,32.0485,西晉,西晉_荊州
冀州,PL000000001483,114.4139,36.2392,前秦,前秦
洛陽,PL000000023712,112.597,34.7531,前秦,前秦
般若臺精舍,PL000000018770,115.896,29.676,,
涼州,PL000000045053,102.6438,37.9272,前秦,前秦
西河郡,PL000000006027,111.1446,37.5097,前秦,前秦
廣州,PL000000030485,113.2232,23.1438,東晉,東晉_廣州
白沙寺,PL000000030426,113.223,23.1438,,
江陵,PL000000027768,112.18,30.3652,東晉,東晉_荊州
辛寺,PL000000027715,111.724,30.353,沒有給定朝代,
南康,PL000000019361,114.7536,25.6574,東晉,東晉_江州
丹陽尹,PL000000008883,118.778,32.0514,東晉,東晉_揚州
交州,PL000000055178,106.0947,21.1413,東晉,東晉_交州
宣業寺,PL000000008654,118.778,32.0514,,
弘光寺,PL000000008655,118.778,32.0514,,
蔥嶺,PL000000049638,74.2194,38.096,焉耆、鄯善等部,焉耆、鄯善等部
雀梨大寺,PL000000047805,83.046404,41.855331,晉,
龜茲,PL000000047823,82.9906,41.8226,焉耆、鄯善等部,焉耆、鄯善等部
印度河,PL000000055422,67.441774,23.989203,慣用名,
健馱邏國,PL000000049232,71.5,34,唐,
疏勒國,PL000000047892,75.9933,39.4687,嚈噠屬國,嚈噠屬國
溫宿,PL000000047850,79.333,41.3124,焉耆、鄯善等部,焉耆、鄯善等部
新寺,PL000000047804,82.9906,41.8226,,
羅馬帝國,PL000000055405,21.5,41.9,沒有給定朝代,
襄陽郡,PL000000027122,112.1109,32.0039,前秦,前秦
焉耆,PL000000047769,86.6729,42.2446,焉耆、鄯善等部,焉耆、鄯善等部
建章宮,PL000000042057,108.906,34.3288,,
姑臧,PL000000045045,102.6438,37.9272,前秦,前秦
張掖郡,PL000000045200,100.3606,39.0844,北魏,北朝魏_沃野鎮
盧水,PL000000046755,101.26901,36.682371,沒有給定朝代,
建康郡,PL000000045551,98.8974,39.5003,前秦,前秦
秦州,PL000000044847,105.7258,34.5853,前秦,前秦
合黎,PL000000045285,99.85091,39.391545,沒有給定朝代,
龍翔殿,PL000000045039,102.644,37.9272,,
九宮門,PL000000045040,102.64,37.93,後涼,
草堂寺,PL000000042657,108.739486,34.014462,東晉,
西明閣,PL000000042383,108.94,34.3,沒有給定朝代,
龍光寺,PL000000008756,118.801793,32.062352,,
彭城郡,PL000000009534,117.1969,34.2686,前秦,前秦
中寺,PL000000042069,108.906,34.3288,沒有給定朝代,
壽春,PL000000016391,116.7861,32.5747,東晉,東晉_揚州
石澗寺,PL000000016333,116.786,32.5747,,
天寧寺,PL000000010767,119.432292,32.403425,沒有給定朝代,
北天竺,PL000000055420,77,31,唐宋,
兜率宮,PL000000055446,0,0,沒有給定朝代,
那呵利城,PL000000000053,70.4612,34.4344,沒有給定朝代,
交趾郡,PL000000055179,106.0947,21.1413,東晉,東晉_交州
東萊郡,PL000000020956,119.9476,37.1743,前秦,前秦
江陵,PL000000027766,112.1995,30.3496,南齊,南朝齊_荊州
建康,PL000000008975,118.778,32.0514,南齊,南朝齊_揚州
于闐,PL000000047989,79.8051,37.0554,嚈噠屬國,嚈噠屬國
吳郡,PL000000009913,120.6276,31.3114,南齊,南朝齊_揚州
華嚴堂,PL000000010768,119.432536,32.403273,沒有給定朝代,
涼州,PL000000045055,102.6438,37.9272,西晉,西晉_涼州
枹罕,PL000000046543,103.22,35.6074,北魏,北朝魏_河州
吐谷渾,PL000000047059,94.157,37.1603,吐谷渾,吐谷渾
新樂門,PL000000046533,102.644,37.9272,,
瞿摩帝大寺,PL000000047980,79.8051,37.0554,,
高昌,PL000000047486,89.5989,42.8686,嚈噠屬國,嚈噠屬國
丹陽尹,PL000000008882,118.778,32.0514,南齊,南朝齊_揚州
竹園寺,PL000000008753,118.84,32.05,劉宋,
定林下寺,PL000000008743,118.836232,32.058112,慣用名,
長廣郡,PL000000020545,119.9578,36.7871,北魏,北朝魏_光州
平陽郡,PL000000005698,111.3397,36.0446,前秦,前秦
蔥嶺,PL000000055433,72,39,慣用名,
小雪山,PL000000049249,70.167,30.5,沒有給定朝代,
舊王舍城,PL000000048261,85.4173,25.022824,唐,
靈鷲山,PL000000048268,85.446703,25.001981,慣用名,
劫比他國,PL000000048367,79.446259,27.393717,唐,
阿育王塔南天王寺,PL000000048280,85.2,25.6,沒有給定朝代,
Simghala(俗語音譯),PL000000048734,80.644522,7.850076,唐,
耶婆提國,PL000000048200,106,-6,沒有給定朝代,
牢山,PL000000020455,120.628401,36.178218,沒有給定朝代,
青州,PL000000021115,118.4878,36.6869,北魏,北朝魏_青州
朱雀門,PL000000008909,118.764825,32.068755,東晉,
荊州,PL000000027944,111.7243,30.353,東晉,東晉_荊州
龍城,PL000000007786,120.461,41.579,前秦,前秦
西郡,PL000000044730,101.5832,38.3724,前秦,前秦
蔥嶺,PL000000049639,74.2194,38.096,嚈噠屬國,嚈噠屬國
蔥嶺,PL000000049641,74.2194,38.096,唐,唐_隴右道
